d0_date,version_key,version_label_ko,candidate_count,green_count,yellow_count,orange_count,red_count,avg_traffic_score,avg_max_up,avg_max_down,avg_d1_close,avg_lunch_1200,best_rank1_light,green_rate,red_rate
2025-11-19,V2,기존 V2 기록후보,3,2,0,0,1,5.0,24.89574332359682,-3.603481819579405,4.853148286568028,2.4795860126415694,🟢,0.6666666666666666,0.3333333333333333
2025-11-20,V2,기존 V2 기록후보,3,0,0,0,3,-7.0,5.0079392358175125,-10.466828051873238,-1.6650376483288305,-2.390438525325352,🔴,0.0,1.0
2025-11-21,V2,기존 V2 기록후보,3,0,0,0,3,-5.333333333333333,14.702789160012143,-8.928080324494692,-1.989320734390702,-0.4816551142658739,🔴,0.0,1.0
2025-11-24,V2,기존 V2 기록후보,3,2,0,0,1,1.3333333333333333,20.6323502054892,-6.780968952439718,-0.1466779177031826,1.5652933661964816,🔴,0.6666666666666666,0.3333333333333333
2025-11-25,V2,기존 V2 기록후보,3,0,0,0,3,-4.0,22.58581322070333,-8.223448200375083,-3.5714277256417994,-5.783733142072845,🔴,0.0,1.0
2025-11-26,V2,기존 V2 기록후보,3,2,0,0,1,5.333333333333333,31.245513965753588,-2.014421796771637,13.294736247628284,12.831431901576336,🟢,0.6666666666666666,0.3333333333333333
2025-11-27,V2,기존 V2 기록후보,3,1,0,0,2,-2.333333333333333,11.307949910073246,-7.6063964290525234,4.717075478866454,4.848046283943641,🔴,0.3333333333333333,0.6666666666666666
2025-11-28,V2,기존 V2 기록후보,3,2,0,0,1,1.0,27.665156423147284,-2.09703017393477,4.673016561264579,7.655924162533151,🟢,0.6666666666666666,0.3333333333333333
2025-12-01,V2,기존 V2 기록후보,3,2,0,0,1,1.3333333333333333,17.63961889298223,-7.57416900230993,1.695536326892103,1.1992399788322412,🟢,0.6666666666666666,0.3333333333333333
2025-12-02,V2,기존 V2 기록후보,3,1,0,0,2,3.0,16.500465948095716,-9.044358768977974,1.1043590402543102,1.915324508261551,🔴,0.3333333333333333,0.6666666666666666
2025-12-03,V2,기존 V2 기록후보,3,2,0,0,1,0.3333333333333333,19.439768877197057,-5.704137526304412,9.33778102791695,9.712516699737938,🟢,0.6666666666666666,0.3333333333333333
2025-12-04,V2,기존 V2 기록후보,3,0,0,0,3,-6.666666666666667,5.94155405820047,-13.350002845197809,-0.7532968032250013,0.033785329267492,🔴,0.0,1.0
2025-12-05,V2,기존 V2 기록후보,3,0,0,0,3,-8.333333333333334,4.477746222123194,-13.699220154068229,-6.836705872179077,-6.639720636956663,🔴,0.0,1.0
2025-12-08,V2,기존 V2 기록후보,3,1,0,0,2,-0.6666666666666666,12.309981928763513,-4.926112275617041,-0.5437669855955988,-1.5275600017780018,🔴,0.3333333333333333,0.6666666666666666
2025-12-09,V2,기존 V2 기록후보,3,2,0,0,1,2.0,27.67661932914432,-3.230476718478237,1.2770725140999122,1.4499540562285862,🔴,0.6666666666666666,0.3333333333333333
2025-12-10,V2,기존 V2 기록후보,3,0,0,0,3,-0.3333333333333333,36.92671591771742,-5.548370839865883,9.147749193535743,7.265976337490147,🔴,0.0,1.0
2025-12-11,V2,기존 V2 기록후보,3,0,0,0,3,1.0,29.02605275678573,-9.988259563010356,4.87599862937369,3.843647324549179,🔴,0.0,1.0
2025-12-12,V2,기존 V2 기록후보,3,1,0,0,2,-6.666666666666667,11.381669039373604,-11.16884516579267,-2.1412052222755773,-2.399886287116748,🔴,0.3333333333333333,0.6666666666666666
2025-12-15,V2,기존 V2 기록후보,3,1,0,0,2,-3.0,16.96024990097642,-9.809497687544956,-1.8888119343326129,2.4068084862771757,🔴,0.3333333333333333,0.6666666666666666
2025-12-16,V2,기존 V2 기록후보,3,1,0,0,2,-6.0,16.09830953012303,-6.341181897521376,-2.583296247640543,-0.5874389291504265,🔴,0.3333333333333333,0.6666666666666666
2025-12-17,V2,기존 V2 기록후보,3,0,0,0,3,-4.666666666666667,7.227237097459805,-13.234977378298083,-3.824178678093756,-2.6023541726116943,🔴,0.0,1.0
2025-12-18,V2,기존 V2 기록후보,3,2,0,0,1,3.0,23.704504987317577,-9.025698842958995,-1.0026680964534591,-1.805756683719406,🟢,0.6666666666666666,0.3333333333333333
2025-12-19,V2,기존 V2 기록후보,3,2,0,0,1,4.0,22.63208897809295,-8.03770699428175,4.81959425838638,5.967330926181428,🟢,0.6666666666666666,0.3333333333333333
2025-12-22,V2,기존 V2 기록후보,3,3,0,0,0,7.0,22.578774038032083,-0.2476555087288316,5.042043251370994,4.742480065862272,🟢,1.0,0.0
2025-12-23,V2,기존 V2 기록후보,3,1,0,0,2,-5.666666666666667,15.10797585882087,-9.82478871446885,-0.4325063409316376,-0.2714287194873653,🟢,0.3333333333333333,0.6666666666666666
2025-12-24,V2,기존 V2 기록후보,3,1,0,0,2,-0.6666666666666666,23.98889798432838,-7.319126075942172,0.4307569820234131,0.5805223307450996,🔴,0.3333333333333333,0.6666666666666666
2025-12-26,V2,기존 V2 기록후보,3,1,0,0,2,0.6666666666666666,13.087968164607268,-6.945216085868066,6.015873709795017,4.319319257821385,🔴,0.3333333333333333,0.6666666666666666
2025-12-29,V2,기존 V2 기록후보,3,0,0,0,3,-12.666666666666666,8.974904115541731,-11.568496314987058,-6.387839017823642,-7.581147719604719,🔴,0.0,1.0
2025-12-30,V2,기존 V2 기록후보,3,3,0,0,0,7.0,21.02102655494346,-0.4192313730373579,8.889610728222808,8.832807288208588,🟢,1.0,0.0
2026-01-02,V2,기존 V2 기록후보,3,2,0,0,1,3.0,12.106127849200888,-7.077249646519168,3.7412629352175895,5.347737904412971,🟢,0.6666666666666666,0.3333333333333333
2026-01-05,V2,기존 V2 기록후보,3,0,0,0,3,-10.333333333333334,7.028704502730151,-15.3450966803522,-10.179733500224652,-7.692229449288505,🔴,0.0,1.0
2026-01-06,V2,기존 V2 기록후보,3,0,0,0,3,1.3333333333333333,17.345015263808353,-6.97506211411385,0.3800787228239066,0.4768464636086304,🔴,0.0,1.0
2026-01-07,V2,기존 V2 기록후보,3,1,0,0,2,-2.6666666666666665,17.27621419927608,-3.71846018957801,1.054983333140158,2.430683484225093,🟢,0.3333333333333333,0.6666666666666666
2026-01-08,V2,기존 V2 기록후보,3,2,0,0,1,3.6666666666666665,22.96232568535378,-3.5678895762297,6.680521487742982,10.9661346279019,🟢,0.6666666666666666,0.3333333333333333
2026-01-09,V2,기존 V2 기록후보,3,1,0,0,2,2.0,15.26501168180683,-6.788800143015884,-1.953484765149179,-0.7168116390549931,🔴,0.3333333333333333,0.6666666666666666
2026-01-12,V2,기존 V2 기록후보,3,2,0,0,1,3.0,14.993886589337473,-4.2054487375878695,1.9538304374720596,1.6019595082822506,🟢,0.6666666666666666,0.3333333333333333
2026-01-13,V2,기존 V2 기록후보,3,1,0,0,2,0.0,12.577285450746922,-4.188940682158093,-0.5995100007565349,-0.6254493114598914,🔴,0.3333333333333333,0.6666666666666666
2026-01-14,V2,기존 V2 기록후보,3,3,0,0,0,6.0,17.176573742094302,-1.638751752139996,5.1596438046520365,3.562425389681952,🟢,1.0,0.0
2026-01-15,V2,기존 V2 기록후보,3,2,0,0,1,0.0,36.35668530913455,-2.037050174036843,4.532286946445001,5.867067196038053,🔴,0.6666666666666666,0.3333333333333333
2026-01-16,V2,기존 V2 기록후보,3,1,0,0,2,0.6666666666666666,26.79659595179716,-4.130493539609263,10.752881305193837,5.694325545401121,🔴,0.3333333333333333,0.6666666666666666
2026-01-19,V2,기존 V2 기록후보,3,0,0,0,3,-1.6666666666666667,5.323669429706679,-10.897552085201086,-0.6380491103745167,0.0575928384720018,🔴,0.0,1.0
2026-01-20,V2,기존 V2 기록후보,3,0,0,0,3,-6.333333333333333,5.999874766416295,-11.871943205705344,-2.0329521858489907,-2.189605585995576,🔴,0.0,1.0
2026-01-21,V2,기존 V2 기록후보,3,0,0,0,3,-3.6666666666666665,10.886584877010506,-10.188734079376838,-2.8394098832335017,-3.671918953569034,🔴,0.0,1.0
2026-01-22,V2,기존 V2 기록후보,3,1,0,0,2,-3.6666666666666665,7.643972053491584,-8.11500329237195,-6.229343175908061,-5.253364606754822,🔴,0.3333333333333333,0.6666666666666666
