model_name,signal_date,selected_count,d1_plus13_success_count,d5_plus13_touch_count,d5_minus2_touch_count,avg_ret_d5_close,avg_cum_d5_mfe_pct,avg_cum_d5_mae_pct,d1_plus13_touch_count,cum_d1_plus13_touch_count,d2_plus13_touch_count,cum_d2_plus13_touch_count,d3_plus13_touch_count,cum_d3_plus13_touch_count,d4_plus13_touch_count,cum_d4_plus13_touch_count,cum_d5_plus13_touch_count
EOD_FUNDAMENTAL_TOP3,2026-04-22,3,0,2,3,-1.0619118580545728,17.114893136081935,-14.632227477111682,1,1,2,2,2,2,2,2,2
EOD_FUNDAMENTAL_TOP3,2026-04-23,3,1,1,3,-6.11477497592378,3.99844400883352,-7.503686892390782,2,2,1,2,1,3,1,3,3
EOD_FUNDAMENTAL_TOP3,2026-04-24,3,2,2,2,37.14693281772273,48.56551992622596,-3.124002611944421,3,3,3,3,3,3,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-04-27,3,0,1,3,-5.219693359324477,2.9266715175034395,-12.956857069713465,0,0,1,1,0,1,0,1,2
EOD_FUNDAMENTAL_TOP3,2026-04-28,3,2,1,2,8.353959356441527,24.769470110801322,-7.686513377314623,2,2,3,3,1,3,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-04-29,3,1,1,2,4.698529333960528,21.113058282689753,-11.984313844752398,2,2,2,2,1,2,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-04-30,3,2,3,1,10.858670728722442,24.295317341029104,-0.6498169698106532,3,3,2,3,2,3,3,3,3
EOD_FUNDAMENTAL_TOP3,2026-05-04,3,2,2,1,0.17104036541644163,15.491711560049376,-9.517195172397793,2,2,2,2,2,2,2,2,2
EOD_FUNDAMENTAL_TOP3,2026-05-06,3,0,0,3,-16.574042659663892,7.586618942958919,-19.172534203129793,2,2,0,2,1,2,1,2,2
EOD_FUNDAMENTAL_TOP3,2026-05-07,3,0,0,3,-17.10926975412552,5.515932432454178,-19.02583791924123,2,2,2,2,2,2,1,2,2
EOD_FUNDAMENTAL_TOP3,2026-05-08,3,1,1,3,-10.434560327198364,19.086837508520787,-16.79612943081118,2,2,3,3,2,3,1,3,3
EOD_FUNDAMENTAL_TOP3,2026-05-11,3,1,1,3,-11.358720835033987,9.60395972505095,-15.283129929765478,2,2,1,2,1,2,1,2,2
EOD_FUNDAMENTAL_TOP3,2026-05-12,3,0,0,3,-18.75382933661381,3.5301903619238275,-21.714550047299486,2,2,2,2,1,2,0,2,2
EOD_FUNDAMENTAL_TOP3,2026-05-13,3,0,0,3,-28.132653840423284,6.503609357305591,-30.373405919547583,3,3,1,3,0,3,0,3,3
EOD_FUNDAMENTAL_TOP3,2026-05-14,3,0,0,3,-8.752011883551637,8.919210684637429,-22.629063672973103,3,3,0,3,0,3,0,3,3
EOD_FUNDAMENTAL_TOP3,2026-05-15,3,1,2,2,13.514545909631773,26.644900420300885,-9.703395716367998,2,2,1,2,1,2,1,2,3
EOD_FUNDAMENTAL_TOP3,2026-05-18,3,0,3,3,20.82403422979615,32.132542821160854,-6.757981025949978,3,3,3,3,3,3,3,3,3
EOD_FUNDAMENTAL_TOP3,2026-05-19,3,0,1,3,-0.957604782785026,25.976094607671893,-21.452496312491885,3,3,2,3,1,3,1,3,3
EOD_PRICE_VOLUME_TOP3,2025-04-02,3,0,0,3,-14.737575171181154,7.658142927734324,-19.70311545223691,2,2,1,2,0,2,0,2,2
EOD_PRICE_VOLUME_TOP3,2025-04-03,3,0,1,3,1.474421797944298,21.954672088510296,-20.469925875303407,3,3,0,3,1,3,1,3,3
EOD_PRICE_VOLUME_TOP3,2025-04-04,3,0,2,3,4.1526104714762235,22.810733094539145,-16.02890255006505,3,3,2,3,2,3,2,3,3
EOD_PRICE_VOLUME_TOP3,2025-04-07,3,0,0,3,-17.750310988712474,1.0134481521699341,-22.018360618101156,1,1,0,1,0,1,1,2,2
EOD_PRICE_VOLUME_TOP3,2025-04-08,3,0,1,3,-3.8385542643895953,16.298189896924598,-18.466483106444755,1,1,1,1,1,1,1,1,1
EOD_PRICE_VOLUME_TOP3,2025-04-09,3,2,3,1,11.515147160566409,21.560625980428995,-2.480974384931955,3,3,3,3,3,3,3,3,3
EOD_PRICE_VOLUME_TOP3,2025-04-10,3,1,1,2,-8.226137193754008,6.853741722025734,-10.52662014458633,1,1,1,1,2,2,1,2,2
EOD_PRICE_VOLUME_TOP3,2025-04-11,3,2,1,2,0.8219917180355307,15.126682541408927,-5.624619733637541,2,2,3,3,3,3,2,3,3
EOD_PRICE_VOLUME_TOP3,2025-04-14,3,2,1,3,3.5465354811214858,14.734732371215985,-10.876290249984214,3,3,2,3,2,3,1,3,3
EOD_PRICE_VOLUME_TOP3,2025-04-15,3,0,2,3,-5.500605223086045,9.371389098038918,-8.595912121426897,2,2,2,2,1,2,1,2,2
EOD_PRICE_VOLUME_TOP3,2025-04-16,3,0,2,3,0.7002858216708133,16.796340949560157,-8.364724759778678,3,3,1,3,1,3,2,3,3
EOD_PRICE_VOLUME_TOP3,2025-04-17,3,1,3,2,6.404040590839973,39.02256077586493,-5.360291805630745,2,2,3,3,2,3,3,3,3
EOD_PRICE_VOLUME_TOP3,2025-04-18,3,1,1,3,-4.333985826189509,30.91403274949565,-12.449576615889447,1,1,2,2,3,3,3,3,3
EOD_PRICE_VOLUME_TOP3,2025-04-21,3,0,1,3,-7.754400390589758,13.819864245828306,-12.435013738834867,3,3,1,3,2,3,1,3,3
EOD_PRICE_VOLUME_TOP3,2025-04-22,3,0,1,3,-3.842652855179015,13.342319398077995,-8.065219479861392,3,3,3,3,1,3,1,3,3
EOD_PRICE_VOLUME_TOP3,2025-04-23,3,2,0,3,-7.707266985163618,13.295049356303716,-8.530715652999179,2,2,3,3,1,3,1,3,3
EOD_PRICE_VOLUME_TOP3,2025-04-24,3,1,0,3,-6.265184474253959,5.694491844400215,-9.611974088782455,2,2,1,2,2,2,1,2,2
EOD_PRICE_VOLUME_TOP3,2025-04-25,3,0,1,3,-1.4800736175910636,6.849483228836384,-14.016972901547732,2,2,1,2,0,2,0,2,2
EOD_PRICE_VOLUME_TOP3,2025-04-28,3,1,1,3,1.3662605650770854,3.714052467118215,-3.4114981901800143,2,2,1,2,1,2,1,2,2
EOD_PRICE_VOLUME_TOP3,2025-04-29,3,0,2,3,17.95805580876093,24.946576772085177,-4.818337024139241,1,1,1,1,1,1,2,2,2
EOD_PRICE_VOLUME_TOP3,2025-04-30,3,0,2,3,-0.09742164908567534,9.081273731784927,-7.058702699632609,2,2,2,2,2,2,1,2,3
EOD_PRICE_VOLUME_TOP3,2025-05-02,3,1,2,2,1.0875587062164038,7.969281891041624,-5.328501524432612,3,3,2,3,2,3,2,3,3
