strategy_key,strategy_label,strategy_family,group_type,rows,signal_days,date_min,date_max,horizon,direction,threshold_pct,eligible_rows,single_day_touch_rate_pct,cum_touch_rate_pct,close_at_horizon_rate_pct,close_at_horizon_avg_pct,close_at_horizon_median_pct
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+5,minus,-1.0,828,48.429951690821255,79.10628019323671,38.164251207729464,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+5,minus,-2.0,828,43.23671497584541,71.01449275362319,33.33333333333333,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+5,minus,-3.0,828,39.371980676328505,60.99033816425121,28.743961352657006,2.540833104908452,1.2846050979165136
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,D+1,plus,1.0,840,76.54761904761904,76.54761904761904,38.57142857142858,0.3990460381102729,0.1568674734371056
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,D+1,plus,1.3,840,72.73809523809524,72.73809523809524,36.07142857142857,0.3990460381102729,0.1568674734371056
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,D+1,plus,2.0,840,62.26190476190476,62.26190476190476,30.0,0.3990460381102729,0.1568674734371056
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,D+1,plus,3.0,840,48.69047619047619,48.69047619047619,24.047619047619047,0.3990460381102729,0.1568674734371056
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,D+1,minus,-1.0,840,64.04761904761904,64.04761904761904,37.023809523809526,0.3990460381102729,0.1568674734371056
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,D+1,minus,-2.0,840,51.547619047619044,51.547619047619044,28.214285714285715,0.3990460381102729,0.1568674734371056
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,D+1,minus,-3.0,840,39.04761904761905,39.04761904761905,21.30952380952381,0.3990460381102729,0.1568674734371056
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,D+2,plus,1.0,837,67.62246117084827,84.82676224611708,43.24970131421744,0.8710055910745576,0.38510911424902705
