v3_variant,signal_date,eod_count,v3_count,overlap_count,eod_only_count,v3_only_count,overlap_codes,eod_only_codes,v3_only_codes
V3_D_V2_CONFIRM,2026-02-03,3,3,1,2,2,034020,015760|377300,079550|080220
V3_D_V2_CONFIRM,2026-02-04,3,3,1,2,2,034020,006800|377300,079550|443060
V3_D_V2_CONFIRM,2026-02-05,3,3,0,3,3,,006800|009830|034020,079550|207940|329180
V3_D_V2_CONFIRM,2026-02-06,3,3,0,3,3,,006800|009830|034020,035720|267260|329180
V3_D_V2_CONFIRM,2026-02-09,3,3,1,2,2,009830,034020|038500,207940|329180
V3_D_V2_CONFIRM,2026-02-10,3,3,0,3,3,,009830|034020|038500,007660|012450|329180
V3_D_V2_CONFIRM,2026-02-11,3,3,1,2,2,009830,034020|038500,007660|329180
V3_D_V2_CONFIRM,2026-02-12,3,3,0,3,3,,034020|038500|080220,329180|443060|454910
V3_D_V2_CONFIRM,2026-02-13,3,3,0,3,3,,032820|034020|038500,011070|012450|204320
V3_D_V2_CONFIRM,2026-02-19,3,3,1,2,2,006800,032820|034020,012450|454910
V3_D_V2_CONFIRM,2026-02-20,3,3,1,2,2,034020,006800|009830,000990|454910
V3_D_V2_CONFIRM,2026-02-23,3,3,1,2,2,034020,006800|009830,011500|454910
V3_D_V2_CONFIRM,2026-02-24,3,3,1,2,2,006800,009830|034020,000990|457190
V3_D_V2_CONFIRM,2026-02-25,3,3,1,2,2,006800,009830|034020,071320|348950
V3_D_V2_CONFIRM,2026-02-26,3,3,0,3,3,,006800|009830|034020,003490|009470|499790
V3_D_V2_CONFIRM,2026-02-27,3,3,1,2,2,034020,006800|080220,004310|032350
V3_D_V2_CONFIRM,2026-03-03,3,3,0,3,3,,006800|009830|034020,015760|204320|352820
V3_D_V2_CONFIRM,2026-03-04,3,3,0,3,3,,006800|009830|034020,005490|011200|035420
V3_D_V2_CONFIRM,2026-03-05,3,3,0,3,3,,006800|009830|034020,011200|015760|035420
V3_D_V2_CONFIRM,2026-03-06,3,3,0,3,3,,009830|024060|038500,005490|055550|105560
V3_D_V2_CONFIRM,2026-03-09,3,3,0,3,3,,009830|024060|089030,015760|105560|267260
V3_D_V2_CONFIRM,2026-03-10,3,3,0,3,3,,009830|032820|089030,035420|055550|105560
V3_D_V2_CONFIRM,2026-03-11,3,3,1,2,2,032820,009830|089030,035420|055550
V3_D_V2_CONFIRM,2026-03-12,3,3,1,2,2,032820,009830|089030,035420|105560
V3_D_V2_CONFIRM,2026-03-13,3,3,1,2,2,032820,038500|089030,035420|105560
V3_D_V2_CONFIRM,2026-03-16,3,3,1,2,2,032820,038500|047040,035420|267260
V3_D_V2_CONFIRM,2026-03-17,3,3,0,3,3,,032820|038500|047040,015760|035420|064350
V3_D_V2_CONFIRM,2026-03-18,3,3,0,3,3,,003280|038500|089030,010950|015760|064350
V3_D_V2_CONFIRM,2026-03-19,3,3,1,2,2,047040,003280|032820,005490|035420
V3_D_V2_CONFIRM,2026-03-20,3,3,1,2,2,047040,032820|038500,000810|064350
V3_D_V2_CONFIRM,2026-03-23,3,3,0,3,3,,001510|032820|047040,005490|105560|352820
V3_D_V2_CONFIRM,2026-03-24,3,3,0,3,3,,001510|032820|047040,035420|064350|352820
V3_D_V2_CONFIRM,2026-03-25,3,3,0,3,3,,006800|038500|047040,015760|064350|352820
V3_D_V2_CONFIRM,2026-03-26,3,3,0,3,3,,009830|038500|050890,005930|064350|352820
V3_D_V2_CONFIRM,2026-03-27,3,3,0,3,3,,003280|009830|050890,000810|015760|064350
V3_D_V2_CONFIRM,2026-03-30,3,3,1,2,2,047040,050890|100790,015760|035420
V3_D_V2_CONFIRM,2026-03-31,3,3,0,3,3,,009830|050890|100790,005930|035420|267260
V3_D_V2_CONFIRM,2026-04-01,3,3,0,3,3,,003280|050890|100790,032350|071970|352820
V3_D_V2_CONFIRM,2026-04-02,3,3,0,3,3,,003280|047040|100790,007660|035420|062040
V3_D_V2_CONFIRM,2026-04-03,3,3,0,3,3,,003280|010170|047040,015760|034220|035420
V3_D_V2_CONFIRM,2026-04-06,3,3,0,3,3,,003280|010170|475150,015760|034730|047040
V3_D_V2_CONFIRM,2026-04-07,3,3,0,3,3,,003280|010170|475150,015760|062040|278470
V3_D_V2_CONFIRM,2026-04-08,3,3,1,2,2,010170,100790|475150,009420|336260
V3_D_V2_CONFIRM,2026-04-09,3,3,2,1,1,032820|047040,010170,329180
V3_D_V2_CONFIRM,2026-04-10,3,3,1,2,2,032820,010170|047040,329180|336260
V3_D_V2_CONFIRM,2026-04-13,3,3,2,1,1,010170|032820,047040,329180
V3_D_V2_CONFIRM,2026-04-14,3,3,1,2,2,032820,010170|047040,010820|034230
V3_D_V2_CONFIRM,2026-04-15,3,3,1,2,2,047040,010170|032820,034230|352820
V3_D_V2_CONFIRM,2026-04-16,3,3,1,2,2,047040,001440|010170,092220|355150
V3_D_V2_CONFIRM,2026-04-17,3,3,1,2,2,047040,010170|032820,009420|092220
V3_D_V2_CONFIRM,2026-04-20,3,3,0,3,3,,017900|032820|100790,047040|092220|352820
V3_D_V2_CONFIRM,2026-04-21,3,3,1,2,2,100790,017900|032820,010170|352820
V3_D_V2_CONFIRM,2026-04-22,3,3,0,3,3,,032820|047040|100790,003280|006360|053690
V3_D_V2_CONFIRM,2026-04-23,3,3,1,2,2,047040,017900|032820,010170|352820
V3_D_V2_CONFIRM,2026-04-24,3,3,1,2,2,006340,010140|047040,003280|100090
V3_D_V2_CONFIRM,2026-04-27,3,3,1,2,2,080220,047040|098460,003280|047810
V3_D_V2_CONFIRM,2026-04-28,3,3,1,2,2,010170,001440|080220,047810|272210
V3_D_V2_CONFIRM,2026-04-29,3,3,1,2,2,001440,010170|047040,047810|272210
V3_D_V2_CONFIRM,2026-04-30,3,3,0,3,3,,001440|006340|047040,000720|039490|272210
V3_D_V2_CONFIRM,2026-05-04,3,3,0,3,3,,001440|006340|047040,000720|012750|272210
V3_D_V2_CONFIRM,2026-05-06,3,3,0,3,3,,001440|010170|047040,000720|009420|128940
V3_D_V2_CONFIRM,2026-05-07,3,3,0,3,3,,001440|006800|080220,012450|034220|128940
V3_D_V2_CONFIRM,2026-05-08,3,3,0,3,3,,001440|006800|010170,012450|018880|034220
V3_D_V2_CONFIRM,2026-05-11,3,3,0,3,3,,001440|006800|010170,010950|012450|068270
V3_D_V2_CONFIRM,2026-05-12,3,3,1,2,2,010170,001440|018880,007660|012450
V3_D_V2_CONFIRM,2026-05-13,3,3,0,3,3,,001440|010170|018880,000720|012450|068270
V3_D_V2_CONFIRM,2026-05-14,3,3,0,3,3,,001440|006800|010170,012450|039490|047050
V3_D_V2_CONFIRM,2026-05-15,3,3,0,3,3,,001440|006800|010170,005880|034220|080220
V3_D_V2_CONFIRM,2026-05-18,3,3,1,2,2,010170,001440|006800,034220|047040
V3_D_V2_CONFIRM,2026-05-19,3,3,1,2,2,006800,001440|028050,034220|178320
V3_D_V2_CONFIRM,2026-05-20,3,3,3,0,0,001440|006800|028050,,
V3_D_V2_CONFIRM,2026-05-21,3,3,3,0,0,001440|006800|028050,,
V3_D_V2_CONFIRM,2026-05-22,3,3,3,0,0,001440|080220|100790,,
V3_D_V2_CONFIRM,2026-05-26,3,3,3,0,0,080220|100790|319400,,
V3_D_V2_CONFIRM,2026-05-27,3,3,3,0,0,010170|080220|100790,,
V3_D_V2_CONFIRM,2026-05-28,3,3,3,0,0,001740|010170|080220,,
V3_C_RISK_CONTROL,2025-04-02,3,3,3,0,0,005930|463480|484810,,
V3_C_RISK_CONTROL,2025-04-03,3,3,3,0,0,005930|065500|098070,,
V3_C_RISK_CONTROL,2025-04-04,3,3,2,1,1,005930|098070,065500,042660
V3_C_RISK_CONTROL,2025-04-07,3,3,2,1,1,005930|098070,065500,042660
V3_C_RISK_CONTROL,2025-04-08,3,3,2,1,1,005930|098070,484810,065500
V3_C_RISK_CONTROL,2025-04-09,3,3,2,1,1,005930|098070,484810,042660
V3_C_RISK_CONTROL,2025-04-10,3,3,3,0,0,005930|013580|098070,,
V3_C_RISK_CONTROL,2025-04-11,3,3,2,1,1,005930|098070,008970,042660
