signal_date,active_variant,selected_count,eod_count,v2_count,human_count,eod_only_count,all_eod_only_day,source_freshness,fallback_blocked_operational,latest20_all_eod_only_day_rate_pct
2026-01-28,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2026-01-29,V3_C_RISK_CONTROL,3,2,3,0,0,False,PASS,False,0.0
2026-01-30,V3_C_RISK_CONTROL,3,0,2,2,0,False,PASS,False,0.0
2026-02-02,V3_C_RISK_CONTROL,3,0,2,1,0,False,PASS,False,0.0
2026-02-03,V3_C_RISK_CONTROL,3,1,1,1,1,False,PASS,False,0.0
2026-02-04,V3_C_RISK_CONTROL,3,1,2,0,1,False,PASS,False,0.0
2026-02-05,V3_C_RISK_CONTROL,3,2,1,2,0,False,PASS,False,0.0
2026-02-06,V3_C_RISK_CONTROL,3,1,0,3,0,False,PASS,False,0.0
2026-02-09,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2026-02-10,V3_C_RISK_CONTROL,3,1,1,1,1,False,PASS,False,0.0
2026-02-11,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2026-02-12,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2026-02-13,V3_C_RISK_CONTROL,3,0,2,1,0,False,PASS,False,0.0
2026-02-19,V3_C_RISK_CONTROL,3,1,1,1,1,False,PASS,False,0.0
2026-02-20,V3_C_RISK_CONTROL,3,1,2,0,1,False,PASS,False,0.0
2026-02-23,V3_C_RISK_CONTROL,3,1,3,0,0,False,PASS,False,0.0
2026-02-24,V3_C_RISK_CONTROL,3,1,3,0,0,False,PASS,False,0.0
2026-02-25,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2026-02-26,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2026-02-27,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2026-03-03,V3_C_RISK_CONTROL,3,0,0,3,0,False,PASS,False,0.0
2026-03-04,V3_C_RISK_CONTROL,3,0,2,1,0,False,PASS,False,0.0
2026-03-05,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2026-03-06,V3_C_RISK_CONTROL,3,0,2,2,0,False,PASS,False,0.0
2026-03-09,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2026-03-10,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2026-03-11,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2026-03-12,V3_C_RISK_CONTROL,3,1,3,1,0,False,PASS,False,0.0
2026-03-13,V3_C_RISK_CONTROL,3,1,2,0,1,False,PASS,False,0.0
2026-03-16,V3_C_RISK_CONTROL,3,1,3,0,0,False,PASS,False,0.0
2026-03-17,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2026-03-18,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2026-03-19,V3_C_RISK_CONTROL,3,2,2,2,0,False,PASS,False,0.0
2026-03-20,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2026-03-23,V3_C_RISK_CONTROL,3,0,3,1,0,False,PASS,False,0.0
2026-03-24,V3_C_RISK_CONTROL,3,0,2,2,0,False,PASS,False,0.0
2026-03-25,V3_C_RISK_CONTROL,3,0,3,2,0,False,PASS,False,0.0
2026-03-26,V3_C_RISK_CONTROL,3,0,2,2,0,False,PASS,False,0.0
2026-03-27,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2026-03-30,V3_C_RISK_CONTROL,3,1,3,2,0,False,PASS,False,0.0
2026-03-31,V3_C_RISK_CONTROL,3,0,2,3,0,False,PASS,False,0.0
2026-04-01,V3_C_RISK_CONTROL,3,0,2,1,0,False,PASS,False,0.0
2026-04-02,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2026-04-03,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2026-04-06,V3_C_RISK_CONTROL,3,0,3,1,0,False,PASS,False,0.0
2026-04-07,V3_C_RISK_CONTROL,3,0,2,2,0,False,PASS,False,0.0
2026-04-08,V3_C_RISK_CONTROL,3,0,2,1,0,False,PASS,False,0.0
2026-04-09,V3_C_RISK_CONTROL,3,1,2,0,1,False,PASS,False,0.0
2026-04-10,V3_C_RISK_CONTROL,3,1,2,0,1,False,PASS,False,0.0
2026-04-13,V3_C_RISK_CONTROL,3,0,3,0,0,False,PASS,False,0.0
2026-04-14,V3_C_RISK_CONTROL,3,2,1,0,2,False,PASS,False,0.0
2026-04-15,V3_C_RISK_CONTROL,3,0,2,1,0,False,PASS,False,0.0
